student_id,school_id,school_name,state,municipality,year,grade_level,age,gender,socio_economic_class,parent_education,family_income_R$,previous_repeat,attendance_rate,avg_score,special_needs,household_size,urban_rural,teacher_student_ratio,infrastructure_score,dropped_out,dropout_date
ST000001,S0198,Escola 198,RJ,Niterói,2021,9º Ano EF,14,F,Baixa,Superior,3092,0,0.796,73.8,0,4,Urbano,0.069,72.3,0,
ST000002,S0128,Escola 128,SP,Ribeirão Preto,2023,8º Ano EF,14,F,Baixa,Médio,1537,1,0.691,51.9,0,5,Urbano,0.086,61.5,0,
ST000003,S0162,Escola 162,RS,Caxias do Sul,2022,4º Ano EF,9,F,Baixa,Fundamental Incompleto,22284,0,0.76,75.0,0,5,Urbano,0.037,81.8,0,
ST000004,S0031,Escola 31,PA,Belém,2023,3º Ano EF,8,F,Média,Médio,5463,0,0.839,47.5,0,7,Urbano,0.081,61.0,1,2023-11-10
ST000005,S0038,Escola 38,PR,Londrina,2021,4º Ano EF,8,F,Média,Superior,5162,1,1.0,32.0,0,5,Urbano,0.053,40.6,1,2021-10-18
ST000006,S0069,Escola 69,PE,Olinda,2024,1º Ano EF,6,M,Baixa,Médio,2317,1,0.607,43.0,0,3,Urbano,0.029,75.4,1,2024-07-26
ST000007,S0086,Escola 86,SP,Santos,2022,9º Ano EF,12,M,Alta,Superior,12183,1,0.819,71.2,0,4,Rural,0.037,62.5,1,2022-08-30
ST000008,S0012,Escola 12,PE,Olinda,2020,3º Ano EM,21,M,Alta,Fundamental Completo,24491,1,0.965,80.4,0,5,Urbano,0.023,63.0,0,
ST000009,S0010,Escola 10,PR,Curitiba,2019,9º Ano EF,10,F,Baixa,Fundamental Incompleto,2470,0,0.674,70.8,0,6,Urbano,0.046,78.1,1,2019-04-15
ST000010,S0105,Escola 105,RS,Caxias do Sul,2024,2º Ano EM,14,F,Baixa,Superior,5984,0,0.697,53.2,0,4,Urbano,0.067,67.6,1,2024-07-18
ST000011,S0173,Escola 173,PA,Castanhal,2024,9º Ano EF,17,M,Baixa,Médio,2816,0,0.632,71.8,0,2,Urbano,0.033,68.8,0,
